Country;2015;2016;2017;2018;2019;2020
Mauritius;5.631722969;5.741603702;5.989618881;5.97629747;6.099690066;5.79970604
Mexico;788.133053;798.0589844;801.76679;787.3190759;776.5041603;702.3152008
Moldova;11.76540342;11.97801131;11.99136459;12.57027496;12.82353357;12.61325698
Mongolia;46.80993256;53.86758357;59.85796126;62.95972323;67.03892906;69.31823829
Morocco;97.22918243;97.7666538;102.0472323;104.6008824;111.4116354;107.0189527
Mozambique;27.12395572;29.81457502;32.47079399;34.42775567;32.83106472;31.18456603
Myanmar/Burma;134.0220056;140.1364174;155.0175168;160.371845;166.8148562;169.4598355
Namibia;11.98843213;12.85034691;12.50829341;12.44343572;12.53117062;12.35326277
Nepal;45.49354845;48.6928976;52.37759671;54.67306801;53.54373989;53.83964162
Netherlands;216.6206946;217.4417354;220.6774906;218.8417373;205.6497968;190.9950623
New Caledonia;4.941553866;5.217309705;4.970484215;5.502066059;5.737609399;5.886645676
New Zealand;87.10839246;86.89270415;88.02435624;87.38231639;88.92317105;83.59160869
Nicaragua;19.61690679;19.70527734;19.65374119;19.38065943;19.79722619;19.17242136
Niger;31.70366387;33.14653939;34.44688977;36.05610997;37.91231541;39.41657821
Nigeria;393.4828861;394.2732094;402.6871976;411.4882177;424.2857074;418.5581342
North Korea;55.38468272;62.36098374;83.66199302;78.31244134;85.39240071;88.34226037
North Macedonia;10.59115208;10.14937591;10.73896073;10.2984648;11.27630546;9.781436352
Norway;75.71953554;74.87763996;74.29654447;73.49327684;69.60285088;67.36862118
Oman;115.433833;119.6740774;119.4476626;124.3257404;125.6372999;123.7528606
Pakistan;452.3788595;483.6989419;508.9677886;506.1226816;518.0472806;529.4377476
Palau;1.250994292;1.198575428;1.253073282;1.285032441;1.324663072;1.33365514
Panama;16.92283164;17.1024819;16.6286634;16.58554507;19.80425786;17.82212978
Papua New Guinea;10.5390071;11.08769508;10.71232201;10.76970269;11.24026771;12.7918184
Paraguay;43.31642149;43.76128603;44.94444331;44.8699696;45.34728114;44.95401011
Peru;92.92789532;96.38883075;93.56886591;94.17928147;96.87331409;88.12066232
Philippines;208.4826007;220.5289229;237.8059916;244.8367549;252.9328833;238.6694811
Poland;408.9715497;417.6363185;431.6124251;427.7998473;404.6579708;392.2340465
Portugal;68.34238596;67.42380189;72.75500533;68.76185495;64.16961874;56.99969987
Puerto Rico;6.68356722;7.026927851;3.7221047;3.705010844;3.690055679;3.632945598
Qatar;181.647386;184.3985793;184.6679087;183.4702714;190.2097964;160.3415294
Réunion;3.060601435;3.127130695;3.168970057;3.17800926;3.197381823;2.785346438
Romania;116.4723136;115.4368687;119.1787342;119.8509811;118.4015005;110.4990034
Russia;2267.068136;2247.560714;2295.680234;2383.287007;2474.878809;2401.406301
Rwanda;6.727652876;6.718741573;6.857677784;7.024990322;7.219856742;7.189185677
Saint Helena, Ascension and Tristan da Cunha;0.016956076;0.017722824;0.018467034;0.019374489;0.019109814;0.017770096
Saint Kitts and Nevis;0.557246007;0.573845266;0.34676439;0.369803174;0.365903355;0.310575296
Saint Lucia;0.909325148;0.921709926;0.72176664;0.711439917;0.956850089;0.821533142
Saint Pierre and Miquelon;0.316581198;0.329042304;0.114478903;0.131252531;0.113054265;0.099521391
Saint Vincent and the Grenadines;0.556665729;0.565812221;0.384057963;0.370848267;0.328107222;0.283567425
Samoa;0.558985489;0.578134534;0.566918609;0.563203598;0.604559527;0.610912637
São Tomé and Príncipe;0.220736287;0.227350383;0.236249005;0.233965482;0.251488553;0.239366374
Saudi Arabia;765.1087946;770.8611281;762.7256601;745.1083256;751.841726;760.6304572
Senegal;24.13812469;25.53530118;25.44990314;26.23284867;27.61331777;27.99907342
Serbia and Montenegro;71.42348461;73.25378367;72.94284546;71.4116613;71.67708741;71.51627432
Seychelles;1.032662112;1.118910813;1.201413437;1.067706477;1.085756959;1.103515475
Sierra Leone;6.422228101;6.802134796;6.904567574;7.816393206;6.650346316;6.687935513
Singapore;66.82313599;66.04639658;72.01752319;70.51408467;71.43343149;71.27157145
Slovakia;44.97605408;45.77568305;48.07563508;47.37238266;45.18076805;43.35546173
Slovenia;20.0786129;20.9306617;21.24874789;21.13082701;20.6026796;19.29585165
Solomon Islands;0.548177203;0.533483165;0.536919639;0.554994421;0.563680755;0.570573977
Somalia;30.12363808;30.3468849;30.5191657;30.80632569;30.84386384;30.91806067
South Africa;578.5402946;577.3774489;589.9746634;588.4654503;592.7738833;536.5621087
South Korea;718.4161684;734.718529;744.8385635;751.4570374;728.3553026;684.8850193
Spain and Andorra;351.4582807;342.8237448;357.6927576;350.0838793;332.1372044;286.8954682
Sri Lanka;42.92041581;42.95511655;41.75474382;42.39525434;44.35946447;44.22461793
Sudan and South Sudan;129.9404763;134.0723718;133.7033901;135.4240033;137.8924536;136.3160931
Suriname;3.896086641;4.170185837;3.671584852;3.343226697;3.842561302;3.696007235
Sweden;68.40085556;68.16942284;67.91062638;65.00701208;64.61392314;61.25745715
Switzerland and Liechtenstein;49.75736972;50.13504004;49.22927081;47.93097354;47.69334504;43.28537507
Syria;44.68817954;45.96949172;48.74827704;45.09945595;44.07653389;41.96922073
Taiwan;310.2408385;314.0970497;319.3038165;318.0588864;308.0795798;299.4436884
Tajikistan;15.38055058;17.23253149;18.67923068;20.08445952;21.21037641;21.04305952
Tanzania;75.05761607;75.43073265;76.52179502;78.2906604;80.7446486;82.8919958
Thailand;443.8569449;445.0886052;443.6472502;440.9256722;449.8304172;440.4364648
The Gambia;2.142089956;2.035882658;2.085165903;2.01811842;2.144960076;2.152544512
Timor-Leste;3.731540831;3.174033719;2.938981821;2.93016448;2.822262791;2.632331521
Togo;8.052004081;8.698247984;8.681100124;9.221581252;9.552867974;9.769177756
Tonga;0.237686995;0.241414261;0.267038466;0.246986153;0.274296901;0.275571337
Trinidad and Tobago;54.99669842;49.41619343;50.14309604;50.32404127;51.99423633;41.35504354
Tunisia;44.29872116;43.33934747;43.40669971;43.6102921;43.50282375;40.96904716
Turkey;518.3560105;546.1823293;591.8149309;592.6038576;585.2951235;585.5524676
Turkmenistan;132.1554626;130.123983;129.7837838;130.7896858;131.1397367;137.7562482
Turks and Caicos Islands;0.454430073;0.47049913;0.265666616;0.282149138;0.286395367;0.238332513
Uganda;44.000418;45.97269712;47.96643529;49.52659108;51.63785879;52.07294035
Ukraine;300.4393952;304.0393206;274.897375;290.6838228;270.5866385;256.6352092
United Arab Emirates;270.0813237;277.3540287;271.8604079;250.970193;266.5999451;260.5514511
United Kingdom;509.6183789;488.669518;475.9700559;468.957611;456.0476602;405.1962671
United States;6323.355742;6210.230644;6149.011027;6334.990569;6218.889349;5566.433325
Uruguay;42.11680961;42.1276241;41.0994925;40.70666776;40.94783771;41.96094035
Uzbekistan;184.7159801;195.1367969;201.052137;210.1474782;215.8046594;212.6347822
Vanuatu;0.709482282;0.71120185;0.733902608;0.787289816;0.790598595;0.796482349
Venezuela;262.3154352;247.1498134;232.7396815;217.7015182;193.2684687;172.6309852
Vietnam;374.8176507;376.0242932;381.5526703;435.8760158;487.7412571;477.3890423
Western Sahara;0.452440539;0.455792368;0.431850465;0.445077479;0.455204336;0.421807787
Yemen;34.57011352;30.36934065;30.57263003;30.66040626;33.72562922;33.84323181
Zambia;24.14288555;24.74317009;26.4762044;27.56392767;26.51238805;26.13124098
Zimbabwe;31.48155247;29.72180861;29.19628876;31.78548249;31.38019141;31.20962956
