Data export;;;;;;;;;;;;;;
Country;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Bhutan;0.1;0.1;0.3;0.3;0.28;0.31;0.28;0.25;0.2;0.14;0.11;0.08;0.06;0.04
Bolivia (Plurinational State of);4;6;4.4;7.7;5.7;8.79;6.05;1.38;1.74;3.06;2.06;3.11;1.96;1.99
Bosnia and Herzegovina;5.5;7.6;5.8;3.5;3.35;4.06;5.13;3.37;2.11;2.34;2.37;2;1.54;1.35
Botswana;9.9;12.7;11;11;10.89;10.84;10.84;10.51;9.75;9.43;8.58;7.78;6.9;5.42
Brazil;1151.4;1021.1;1415.5;1239;1046.4;1387.87;1189.25;1164.74;1025.81;875.29;837.25;824.96;838.85;452.81
Brunei Darussalam;0.5;5.2;5.3;6.9;8.08;5.9;4.27;4;3.57;3.75;3.45;3.37;3.33;3.67
Burkina Faso;18.8;23.3;26.7;31;27.93;26.59;14.88;12.38;11.99;14.41;12.98;10.4;8.14;6.35
Burundi;5.8;6.3;6.9;7.4;3.08;2.97;2.86;2.64;2.48;2.31;2.09;2.04;1.79;1.34
Cabo Verde;0.2;0.2;1.8;0.3;0.28;0.23;0.17;0.17;0.14;0.13;0.08;0.06;0.06;0.04
Cambodia;8;7.9;17.1;12.8;13.71;10.12;9.47;11.19;11.69;4.52;4.64;4.98;8.08;6.65
Cameroon;11.6;14.8;104.2;73.4;73.78;73.78;82.34;68.26;53.79;47.41;38.08;38.06;35.4;32.53
Canada;536.2;489.9;257.2;51;47.03;54.33;55.71;48.95;15.63;8.58;9.85;-2.65;15.68;-2.26
Central African Republic;0.3;6.7;11.9;12.1;12.02;11.83;11.5;11.11;10.45;9.9;9.57;9.35;8.25;7.15
Chad;0.1;19.3;26;6.2;17;16.5;15.2;14.62;14.2;14.06;11.91;10.38;10.2;10.13
Chile;78.8;91.7;75.2;99.8;109.01;105.78;75.99;74.23;67.63;63.33;66.2;38.21;32.21;27
China;17859;15387.2;18602.7;19935.3;20739.03;21091.21;15761.32;16838.53;13485.21;14220.59;14604.66;14382.12;14222.91;10682.65
Colombia;206.2;206.2;209.7;241.5;217.4;285.5;175.74;156.03;164.6;136.54;148.52;78.15;80.28;63.21
Comoros;0.1;0.1;0.1;0.1;0.12;0.11;0.12;0.14;0.1;0.09;0.07;0.06;0.05;0.05
Congo;8.2;8.9;9.68;10.6;10.56;9.87;9.35;8.72;8.15;7.93;7.66;7.23;6.89;6.39
Cook Islands;0;0;0;0.1;0.06;0.04;0.02;0;0;0;0.01;0;0;0
Costa Rica;15.8;10.7;14.2;14;21.75;23;12.6;12.63;10.96;10.89;10.1;8.82;6.29;4.04
Côte d'Ivoire;53.3;57.3;61.7;65.9;59.32;56.65;54.2;52.89;51.29;49.08;47.06;45.05;41.36;38.5
Croatia;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Cuba;14.4;13.3;11.7;22.1;14.26;14.9;12.19;13.14;13.17;12.6;9.56;9.75;6.25;1.31
Democratic People's Republic of Korea;97.5;57.7;61.8;94.1;90.04;88.96;90.56;79.37;70.02;69.91;69.19;70.13;72.27;63.75
Democratic Republic of the Congo;33.5;41.9;55.82;76.6;56.93;47.85;35.94;16.5;15.4;9.35;6.11;6.11;4.68;2.09
Djibouti;0.6;0.6;0.6;0.7;0.66;0.64;0.62;0.57;0.56;0.54;0.51;0.48;0.45;0.38
Dominica;0;0;0.4;0.4;0.16;0.01;0.09;0.17;0.13;0.13;0.13;0.16;0.13;0.01
Dominican Republic;50;49.4;48.5;53.9;50.11;40.87;34.78;36.9;43.39;42.23;44.41;33.1;38.06;28.95
Ecuador;0;20.5;25.74;21.24;32.28;33.76;22.03;21.48;20.1;18.26;18.13;15.48;14.01;13.48
Egypt;433.2;352.4;396.6;375.9;355.58;513.78;279.88;307.09;343.12;346.53;346.46;287.45;288.3;249.95
El Salvador;16.7;25.4;11.9;11.5;9.55;9.32;8.08;8.54;5.82;6.41;6.42;4.29;3.44;2.74
Equatorial Guinea;5;5.8;6.22;6.4;5.67;2.67;2.5;2.27;1.98;1.45;0.01;1.1;0.87;1.03
Eritrea;0.9;1;1.05;1.12;0.96;1.01;1.02;1;0.97;0.94;0.9;0.81;0.76;0.62
Eswatini;5.6;8.6;1.88;1.57;0.96;1.3;1.18;1.47;1.02;1.17;0.75;0.47;0.32;0.41
Ethiopia;0;0;0;11;11.28;10.8;5.46;4.25;4.69;4.59;4.18;3.96;3.53;3.41
European Union;1087.4;2329.9;890.7;-27.7;-34.08;-38.74;-21.32;-69.43;-53.48;-37.31;-26.7;-40.28;-25;-28.45
Fiji;4.1;4.7;5;6.46;14.46;14.37;7.67;6.7;3.87;4.1;3.72;4.14;4.62;2.12
Gabon;4.1;5.2;29.7;30.6;45.95;30.25;28.6;26.4;19.25;20.9;19.8;20.08;18.15;15.4
Gambia;0.1;0.1;1.5;1.5;0.98;1.91;0.86;0.77;0.75;0.5;0.44;0.22;0.17;0.21
Georgia;1.8;5.9;4.6;5.9;4.31;2.66;1.38;1.2;1.68;1.39;2.1;1.89;2.4;0.85
Ghana;19.4;21.6;77.3;37.2;30.71;27.19;25.39;23.34;20.41;18.54;19.52;17.84;17.14;15.97
Grenada;0.2;0.5;0.8;0.8;0.18;0.26;0.33;0.36;0.22;0.2;0.22;0.21;0.18;0.18
Guatemala;6.2;10;9.4;7.2;9.9;8.68;9.84;4.74;4.5;5.6;3.36;4.04;3.36;4
Guinea;19.2;20.4;21.8;23.4;24.53;22.2;7.08;6.89;5.65;4.7;2.54;2.2;1.93;1.65
Guinea Bissau;2.3;2.5;2.75;2.9;2.86;2.7;2.31;2.81;2.48;2.31;1.98;1.54;1.27;1.1
Guyana;0.5;1.7;1.1;2.4;2.41;1.36;0.96;0.8;1.34;1.58;1.33;1.08;0.99;0.9
Haiti;0.4;1.4;3.85;3.41;4.24;5.15;1.95;2.65;3.25;2.99;2.24;2.32;2.65;1.57
Holy See;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0
Honduras;17.2;20.6;17.8;22;22.56;24.11;14.64;12.22;10.85;11;10.88;8.89;9.9;7.4
Iceland;2.2;2.2;1.8;0;0;0;0;0;0;0;0;0;0;0
India;1265.5;2007.9;1598.7;1617.6;1484.57;1653.85;975.94;906.57;992.54;1014.48;806.49;895.19;939.16;297.49
Indonesia;286.8;299.9;374.8;433;337.5;329.38;310.52;257.98;152.67;244.66;239.79;235.56;215.74;0
Iran (Islamic Republic of);191.4;262.9;362.1;398.8;376.88;376.31;357.44;342.14;309.28;272.98;229.28;162.96;63.79;163.67
Iraq;109.4;106.6;111;105.8;110.44;112.2;101.75;96.83;93.39;93.23;91.52;92.68;93.39;66.39
Israel;120.3;115;196.9;81.6;82.03;82.09;81.26;80.36;28.61;30.9;31.62;28.23;27.61;1.53
Jamaica;1.4;6.9;18.2;14.4;4.54;6.3;2.63;3.03;7.62;8.02;8.24;9.97;2.86;4.97
Japan;722.1;786.9;518;327.8;340.73;210.14;205.69;155.15;119.96;72.81;66.7;58.8;74.94;0
Jordan;55.7;59;70.9;95;101.31;124.85;59.4;59.72;73.99;41.94;23.59;25.74;23.38;29.15
Kazakhstan;60.9;62.8;63;110;90.75;21.36;83.32;24.8;12.11;4.96;6.82;7.15;3.06;0.67
Kenya;48.5;57.8;54.7;49.6;48.62;42.35;29.14;24.8;20.6;15.07;5.66;4.49;6.36;6.44
Kiribati;0.1;0.2;0;0.1;0.01;0.03;0.03;0;0.03;0.02;0.02;0.01;0.02;0
Kuwait;359.9;375.5;398.1;439.1;397.75;420.15;414.67;336.17;338.98;297.86;295.94;254.18;253.63;253.82
Kyrgyzstan;1.6;7.4;4.4;3.7;2.96;2.91;3.99;2.4;1.58;1.73;1.37;1.33;0.71;0
Lao People's Democratic Republic;1.6;1.6;2.1;2.5;2.66;2.75;1.6;2.28;2.07;2.03;0.59;0.86;1.29;1.42
