"SDG","SDG target","SDG indicator","Indicator Code","Indicator name","Geographical area code","Geographical area name","Year","Value","Time detail","Source","Footnote","Type of data","Units","Age group","Bounds","Frequency","Level/Status","Location","Type of reporting","Sex","SDG 6 Data portal level"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Burkina Faso","2020","95.3","2020-2020","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Norway","2020","0","2016-2018","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Trinidad and Tobago","2020","87.5","2017-2020","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Togo","2020","100","2006-2019","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Sweden","2020","97.6","2017-2020","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Paraguay","2020","0","2017-2020","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Poland","2020","58.8","2016-2018","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","South Africa","2020","74.2","2017-2019","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Slovenia","2020","78.6","2017-2019","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Romania","2020","44.4","2016-2018","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
"","","6.3.2","EN_H2O_GRAMBQ","Proportion of groundwater bodies with good ambient water quality (%)","Country","Slovakia","2020","47.3","2016-2018","World Environment Situation Room","","C","Percentage","","","","","","","","6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Groundwater"
