"","X","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"37",15,"Albania",19.9992674842305,19.9992674842305,19.9794796840869,19.9794796840869,19.9794796840869,19.9794796840869,"Source","Source","Source","Europe"
"38",16,"Albania",64.2716578972022,51.7620056174946,58.58294896259,47.9456384430414,55.3208540743302,44.3951725492904,"Sink","global System","global System","Europe"
"39",17,"Albania",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Europe"
"40",18,"Albania",64.2716578972022,51.7620056174946,58.58294896259,47.9456384430414,55.3208540743302,44.3951725492904,"Sink","Sink","Sink","Europe"
"41",19,"Albania",62.3189830586255,61.5857431570002,61.473860553294,61.0560529525431,60.5151791428812,60.3121796047449,"Life support","ecosystem health","ecosystem health","Europe"
"42",20,"Albania",62.3189830586255,61.5857431570002,61.473860553294,61.0560529525431,60.5151791428812,60.3121796047449,"Life support","Life support","Life support","Europe"
"43",21,"Albania",73.1675069412304,74.9196687118109,73.1945893160656,71.6565938661614,78.7652468573545,78.8073300489237,"Human health and welfare","human health","human health","Europe"
"44",22,"Albania",40.625,40.625,28.75,28.75,28.75,28.75,"Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"45",23,"Albania",54.5199960517926,55.1689363810588,45.8731342164113,45.3886227335897,47.5867717664157,47.5994825487269,"Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"46",24,"Albania",45.7143386605014,43.3061918508569,42.623693104068,40.3647486528866,42.2382488289143,39.9467815233424,"12","SESI","SESI","Europe"
"47",1,"Algeria",100,100,100,100,100,100,"Source","renewable ressources","state of forest reccources","Africa"
"48",2,"Algeria",40.948,40.948,40.625,40.625,40.625,40.625,"Source","renewable ressources","Proportion of fish stocks not overexploited","Africa"
"49",3,"Algeria",5,5,5,5,5,5,"Source","renewable ressources","Surfacewater Stress","Africa"
"50",4,"Algeria",5,5,5,5,5,5,"Source","renewable ressources","Groundwater stress","Africa"
"51",5,"Algeria",93.46875,93.46875,93.46875,93.46875,93.46875,93.46875,"Source","non-renewables ressources","area with tolerable erosion","Africa"
"52",6,"Algeria",5,5,5,5,5,5,"Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"53",7,"Algeria",9.23018224257114,59.1565670167879,51.7196337193644,48.9734266989855,21.2725558847293,7.48350553964896,"Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"54",8,"Algeria",100,100,100,100,100,100,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"55",9,"Algeria",74.749,73.8845,74.54,71.272,73.3715,73.0105,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa"
"56",10,"Algeria",44.615,42.81,41.955,43.855,44.0133333333333,44.0133333333333,"Human health and welfare","human health","Concentrations of PM2.5","Africa"
"57",11,"Algeria",84.6054875,84.8186485,85.027069,85.23111,85.430743,85.6261865,"Human health and welfare","human health","Drinking water contamination","Africa"
"58",12,"Algeria",52.5,52.5,52.5,52.5,52.5,52.5,"Human health and welfare","landscape and amenity","status of world heritage sites","Africa"
"59",13,"Algeria",17.8872334799507,17.8872334799507,17.8518547943778,17.8518547943778,17.8518547943778,17.8518547943778,"Source","renewable ressources","renewable ressources","Africa"
"60",14,"Algeria",93.46875,93.46875,93.46875,93.46875,93.46875,93.46875,"Source","non-renewable ressources","non-renewable ressources","Africa"
"61",15,"Algeria",40.8888414402896,40.8888414402896,40.8483849474125,40.8483849474125,40.8483849474125,40.8483849474125,"Source","Source","Source","Africa"
"62",16,"Algeria",6.79344619562529,17.1983381489009,16.0809877991628,15.648231002095,10.3132332187169,6.11698681527472,"Sink","global System","global System","Africa"
"63",17,"Algeria",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Africa"
"64",18,"Algeria",6.79344619562529,17.1983381489009,16.0809877991628,15.648231002095,10.3132332187169,6.11698681527472,"Sink","Sink","Sink","Africa"
"65",19,"Algeria",86.4575040120868,85.9560934431062,86.3365507765975,84.4227457501828,85.6571654912769,85.4461818924637,"Life support","ecosystem health","ecosystem health","Africa"
"66",20,"Algeria",86.4575040120868,85.9560934431062,86.3365507765975,84.4227457501828,85.6571654912769,85.4461818924637,"Life support","Life support","Life support","Africa"
"67",21,"Algeria",61.4383742038516,60.2584960174497,59.726967777504,61.1376343102184,61.3195871526654,61.3896887798486,"Human health and welfare","human health","human health","Africa"
"68",22,"Algeria",52.5,52.5,52.5,52.5,52.5,52.5,"Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"69",23,"Algeria",56.7936144799942,56.245631305161,55.9970160662062,56.6544420260801,56.7386845592576,56.7711076247597,"Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"70",24,"Algeria",34.1742731997892,42.9402124183647,42.2145144124162,41.815124540599,37.8271108986662,33.180514493706,"12","SESI","SESI","Africa"
"71",1,"American Samoa",73.4530733333333,72.39965,71.3462266666666,70.29274,69.2393166666667,68.18583,"Source","renewable ressources","state of forest reccources","Oceania"
"72",2,"American Samoa",86.4245,86.4245,84.6765,84.6765,84.6765,84.6765,"Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania"
"73",3,"American Samoa",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania"
"74",4,"American Samoa",87.156,87.004,86.8615,86.7095,86.5575,86.4055,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania"
"75",5,"American Samoa",98.2990155,98.3714435,98.4438715,98.4438715,98.4438715,98.4438715,"Human health and welfare","human health","Drinking water contamination","Oceania"
"76",6,"American Samoa",79.6752479525271,79.1018555498226,77.7261137735575,77.1501341451199,76.5698569786114,75.9851132393379,"Source","renewable ressources","renewable ressources","Oceania"
"77",7,"American Samoa",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","Oceania"
"78",8,"American Samoa",79.6752479525271,79.1018555498226,77.7261137735575,77.1501341451199,76.5698569786114,75.9851132393379,"Source","Source","Source","Oceania"
"79",9,"American Samoa",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","Oceania"
"80",10,"American Samoa",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Oceania"
"81",11,"American Samoa",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","Oceania"
"82",12,"American Samoa",87.156,87.004,86.8615,86.7095,86.5575,86.4055,"Life support","ecosystem health","ecosystem health","Oceania"
"83",13,"American Samoa",87.156,87.004,86.8615,86.7095,86.5575,86.4055,"Life support","Life support","Life support","Oceania"
"84",14,"American Samoa",98.2990155,98.3714435,98.4438715,98.4438715,98.4438715,98.4438715,"Human health and welfare","human health","human health","Oceania"
"85",15,"American Samoa",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Oceania"
"86",16,"American Samoa",98.2990155,98.3714435,98.4438715,98.4438715,98.4438715,98.4438715,"Human health and welfare","Human health and welfare","Human health and welfare","Oceania"
"87",17,"American Samoa",88.0487701196383,87.8075066082997,87.2691986145207,87.0022900412529,86.7328748417901,86.4608556532404,"5","SESI","SESI","Oceania"
"88",1,"Andorra",100,100,100,100,100,100,"Source","renewable ressources","state of forest reccources","Europe"
"89",2,"Andorra",44.30625,44.30625,44.30625,44.30625,44.30625,44.30625,"Source","non-renewables ressources","area with tolerable erosion","Europe"
"90",3,"Andorra",100,100,100,100,100,NA,"Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"91",4,"Andorra",100,100,100,100,100,86.7,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"92",5,"Andorra",76.25,76.25,76.25,76.25,76.25,NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe"
"93",6,"Andorra",79.4664175,79.4391325,79.210865,79.1883258333333,79.1617066666667,78.7448525,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"94",7,"Andorra",84.3566666666667,87.1433333333333,86.3516666666667,86.6683333333333,88.8533333333333,88.8533333333333,"Human health and welfare","human health","Concentrations of PM2.5","Europe"
"95",8,"Andorra",91.108,91.108,91.108,91.108,91.108,91.108,"Human health and welfare","human health","Drinking water contamination","Europe"
"96",9,"Andorra",100,100,100,100,100,100,"Source","renewable ressources","renewable ressources","Europe"
"97",10,"Andorra",44.30625,44.30625,44.30625,44.30625,44.30625,44.30625,"Source","non-renewable ressources","non-renewable ressources","Europe"
"98",11,"Andorra",66.5629401393899,66.5629401393899,66.5629401393899,66.5629401393899,66.5629401393899,66.5629401393899,"Source","Source","Source","Europe"
"99",12,"Andorra",100,100,100,100,100,NA,"Sink","global System","global System","Europe"
"100",13,"Andorra",87.3212459828649,87.3212459828649,87.3212459828649,87.3212459828649,87.3212459828649,86.7,"Sink","critical ecosystems","critical ecosystems","Europe"
"101",14,"Andorra",93.4458377793601,93.4458377793601,93.4458377793601,93.4458377793601,93.4458377793601,86.7,"Sink","Sink","Sink","Europe"
"102",15,"Andorra",79.4664175,79.4391325,79.210865,79.1883258333333,79.1617066666667,78.7448525,"Life support","ecosystem health","ecosystem health","Europe"
"103",16,"Andorra",79.4664175,79.4391325,79.210865,79.1883258333333,79.1617066666667,78.7448525,"Life support","Life support","Life support","Europe"
"104",17,"Andorra",87.6673667145687,89.1036184076344,88.6979573985031,88.8604440307009,89.9736044255943,89.9736044255943,"Human health and welfare","human health","human health","Europe"
"105",18,"Andorra",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"106",19,"Andorra",87.6673667145687,89.1036184076344,88.6979573985031,88.8604440307009,89.9736044255943,89.9736044255943,"Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"107",20,"Andorra",81.1341169628694,81.4574054702693,81.3060210988402,81.3374447659461,81.5841290615566,79.9644992200315,"8","SESI","SESI","Europe"
"108",1,"Angola",22.1443966666666,17.7002333333334,13.2568933333333,8.81279333333331,5,5,"Source","renewable ressources","state of forest reccources","Africa"
"109",2,"Angola",69.2675,69.2675,69.2675,69.2675,69.2675,69.2675,"Source","renewable ressources","Proportion of fish stocks not overexploited","Africa"
"110",3,"Angola",100,100,100,100,100,100,"Source","renewable ressources","Surfacewater Stress","Africa"
"111",4,"Angola",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa"
"112",5,"Angola",100,100,100,100,100,100,"Source","non-renewables ressources","area with tolerable erosion","Africa"
"113",6,"Angola",74.189965375,79.10326325,85.6180165,90.880463125,92.69326975,99.45917925,"Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"114",7,"Angola",9.09027777777778,23.8020833333333,31.0590277777778,31.0590277777778,38.3159722222222,16.3269230769231,"Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"115",8,"Angola",70.4271208333333,70.4058708333333,70.4032783333333,70.3910666666667,70.3455208333333,70.2723783333333,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"116",9,"Angola",73.647,70.9965,71.0535,70.8635,71.6805,72.735,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa"
"117",10,"Angola",36.5716666666667,33.2466666666667,35.2733333333333,33.975,29.8266666666667,29.8266666666667,"Human health and welfare","human health","Concentrations of PM2.5","Africa"
"118",11,"Angola",53.5300671949037,49.6786175242457,45.115290527893,39.3744378459648,32.5961648793705,32.5961648793705,"Source","renewable ressources","renewable ressources","Africa"
"119",12,"Angola",100,100,100,100,100,100,"Source","non-renewable ressources","non-renewable ressources","Africa"
"120",13,"Angola",73.1642448159644,70.4830600387396,67.1679168412219,62.7490540533997,57.0930511352919,57.0930511352919,"Source","Source","Source","Africa"
"121",14,"Angola",25.9693548934598,43.3915022074035,51.5675513550114,53.1287006114086,59.5955765886022,40.2971756939448,"Sink","global System","global System","Africa"
"122",15,"Angola",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Africa"
"123",16,"Angola",25.9693548934598,43.3915022074035,51.5675513550114,53.1287006114086,59.5955765886022,40.2971756939448,"Sink","Sink","Sink","Africa"
"124",17,"Angola",72.0190680862541,70.7005686583831,70.7276419588374,70.6268883126911,71.0098733000823,71.4930866453184,"Life support","ecosystem health","ecosystem health","Africa"
"125",18,"Angola",72.0190680862541,70.7005686583831,70.7276419588374,70.6268883126911,71.0098733000823,71.4930866453184,"Life support","Life support","Life support","Africa"
"126",19,"Angola",36.5716666666667,33.2466666666667,35.2733333333333,33.975,29.8266666666667,29.8266666666667,"Human health and welfare","human health","human health","Africa"
"127",20,"Angola",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"128",21,"Angola",36.5716666666667,33.2466666666667,35.2733333333333,33.975,29.8266666666667,29.8266666666667,"Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"129",22,"Angola",47.2974880826754,51.7803656762366,54.2180030453905,53.18222203307,51.8119794186744,47.0632221534314,"10","SESI","SESI","Africa"
"130",1,"Anguilla",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","America"
"131",2,"Anguilla",62.323,62.323,63.33,63.33,63.33,63.33,"Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"132",3,"Anguilla",NA,NA,NA,NA,NA,NA,"Sink","global System","CO2 emissions [tonnes per capita]","America"
"133",4,"Anguilla",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"134",5,"Anguilla",83.204,82.881,79.4325,82.2065,82.406,82.615,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"135",6,"Anguilla",62.323,62.323,63.33,63.33,63.33,63.33,"Source","renewable ressources","renewable ressources","America"
"136",7,"Anguilla",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","America"
"137",8,"Anguilla",62.323,62.323,63.33,63.33,63.33,63.33,"Source","Source","Source","America"
"138",9,"Anguilla",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","America"
"139",10,"Anguilla",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"140",11,"Anguilla",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","America"
"141",12,"Anguilla",83.204,82.881,79.4325,82.2065,82.406,82.615,"Life support","ecosystem health","ecosystem health","America"
"142",13,"Anguilla",83.204,82.881,79.4325,82.2065,82.406,82.615,"Life support","Life support","Life support","America"
"143",14,"Anguilla",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","America"
"144",15,"Anguilla",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"145",16,"Anguilla",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","America"
"146",17,"Anguilla",72.0105748623075,71.8706655249553,70.9257373948273,72.1535698701041,72.2410685136924,72.3326202345802,"5","SESI","SESI","America"
"147",1,"Antigua and Barbuda",5,5,5,5,5,5,"Source","renewable ressources","state of forest reccources","America"
"148",2,"Antigua and Barbuda",62.323,62.323,63.33,63.33,63.33,63.33,"Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"149",3,"Antigua and Barbuda",100,100,100,100,100,100,"Source","renewable ressources","Surfacewater Stress","America"
"150",4,"Antigua and Barbuda",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America"
"151",5,"Antigua and Barbuda",35.51875,35.51875,35.51875,35.51875,35.51875,35.51875,"Source","non-renewables ressources","area with tolerable erosion","America"
"152",6,"Antigua and Barbuda",5,5,5,5,5,5,"Sink","global System","CO2 emissions [tonnes per capita]","America"
"153",7,"Antigua and Barbuda",82.1573604060914,98.2318104906937,100,95.0169204737733,100,87.6086956521739,"Sink","global System","Consumption of HCFC in ODP per capita","America"
"154",8,"Antigua and Barbuda",NA,NA,NA,NA,NA,5,"Sink","critical ecosystems","Proportion of surface water in good chemical status","America"
"155",9,"Antigua and Barbuda",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"156",10,"Antigua and Barbuda",79.974,80.4205,77.903,79.8505,79.9265,79.4325,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"157",11,"Antigua and Barbuda",87.6816666666667,87.4916666666667,86.4783333333333,87.745,89.55,89.55,"Human health and welfare","human health","Concentrations of PM2.5","America"
"158",12,"Antigua and Barbuda",31.4682639973237,31.4682639973237,31.6368448082571,31.6368448082571,31.6368448082571,31.6368448082571,"Source","renewable ressources","renewable ressources","America"
"159",13,"Antigua and Barbuda",35.51875,35.51875,35.51875,35.51875,35.51875,35.51875,"Source","non-renewable ressources","non-renewable ressources","America"
"160",14,"Antigua and Barbuda",33.4322210128933,33.4322210128933,33.5216524284422,33.5216524284422,33.5216524284422,33.5216524284422,"Source","Source","Source","America"
"161",15,"Antigua and Barbuda",20.267876110497,22.1621084839297,22.3606797749979,21.7964355427411,22.3606797749979,20.9294882465117,"Sink","global System","global System","America"
"162",16,"Antigua and Barbuda",NA,NA,NA,NA,NA,5,"Sink","critical ecosystems","critical ecosystems","America"
"163",17,"Antigua and Barbuda",20.267876110497,22.1621084839297,22.3606797749979,21.7964355427411,22.3606797749979,10.229733194593,"Sink","Sink","Sink","America"
"164",18,"Antigua and Barbuda",79.974,80.4205,77.903,79.8505,79.9265,79.4325,"Life support","ecosystem health","ecosystem health","America"
"165",19,"Antigua and Barbuda",79.974,80.4205,77.903,79.8505,79.9265,79.4325,"Life support","Life support","Life support","America"
"166",20,"Antigua and Barbuda",87.6816666666667,87.4916666666667,86.4783333333333,87.745,89.55,89.55,"Human health and welfare","human health","human health","America"
"167",21,"Antigua and Barbuda",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"168",22,"Antigua and Barbuda",87.6816666666667,87.4916666666667,86.4783333333333,87.745,89.55,89.55,"Human health and welfare","Human health and welfare","Human health and welfare","America"
"169",23,"Antigua and Barbuda",46.6882688652248,47.7834431919251,47.4043262711157,47.5666677867626,48.127322578656,39.5196770391412,"11","SESI","SESI","America"
"170",1,"Argentina",5,5,5,5,5,5,"Source","renewable ressources","state of forest reccources","America"
"171",2,"Argentina",44.121,44.121,49.3365,49.3365,49.3365,49.3365,"Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"172",3,"Argentina",100,100,100,100,100,100,"Source","renewable ressources","Surfacewater Stress","America"
"173",4,"Argentina",100,100,100,100,100,100,"Source","renewable ressources","Groundwater stress","America"
"174",5,"Argentina",97.50625,97.50625,97.50625,97.50625,97.50625,97.50625,"Source","non-renewables ressources","area with tolerable erosion","America"
"175",6,"Argentina",5,5,5,5,5,5,"Sink","global System","CO2 emissions [tonnes per capita]","America"
"176",7,"Argentina",22.2535961826478,39.8221935843405,34.729232698269,50.6725296924524,60.5540385218209,54.3157513403855,"Sink","global System","Consumption of HCFC in ODP per capita","America"
"177",8,"Argentina",NA,NA,NA,NA,NA,5,"Sink","critical ecosystems","Proportion of surface water in good chemical status","America"
"178",9,"Argentina",NA,NA,NA,NA,NA,25.805,"Sink","critical ecosystems","Proportion of ground water in good chemical status","America"
"179",10,"Argentina",62.9096075,62.8691616666667,62.8237433333333,62.7615658333333,62.7218566666667,62.6773875,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"180",11,"Argentina",67.491,67.4435,67.396,67.3485,67.301,67.2535,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"181",12,"Argentina",70.93,71.7216666666667,73.9066666666667,75.9333333333333,77.7066666666667,77.7066666666667,"Human health and welfare","human health","Concentrations of PM2.5","America"
"182",13,"Argentina",52.5,52.5,52.5,52.5,52.5,57.25,"Human health and welfare","landscape and amenity","status of world heritage sites","America"
"183",14,"Argentina",38.5393013922499,38.5393013922499,39.630959333298,39.630959333298,39.630959333298,39.630959333298,"Source","renewable ressources","renewable ressources","America"
"184",15,"Argentina",97.50625,97.50625,97.50625,97.50625,97.50625,97.50625,"Source","non-renewable ressources","non-renewable ressources","America"
"185",16,"Argentina",61.3010828320191,61.3010828320191,62.163222475129,62.163222475129,62.163222475129,62.163222475129,"Source","Source","Source","America"
"186",17,"Argentina",10.5483638974601,14.1106685852125,13.1774869945428,15.917369395169,17.4002928886012,16.4796467408111,"Sink","global System","global System","America"
"187",18,"Argentina",NA,NA,NA,NA,NA,11.3589172019167,"Sink","critical ecosystems","critical ecosystems","America"
"188",19,"Argentina",10.5483638974601,14.1106685852125,13.1774869945428,15.917369395169,17.4002928886012,13.6817741117777,"Sink","Sink","Sink","America"
"189",20,"Argentina",65.1600515636882,65.1161754471639,65.0697241863936,65.0145931043658,64.9710987710946,64.925139046684,"Life support","ecosystem health","ecosystem health","America"
"190",21,"Argentina",65.1600515636882,65.1161754471639,65.0697241863936,65.0145931043658,64.9710987710946,64.925139046684,"Life support","Life support","Life support","America"
"191",22,"Argentina",70.93,71.7216666666667,73.9066666666667,75.9333333333333,77.7066666666667,77.7066666666667,"Human health and welfare","human health","human health","America"
"192",23,"Argentina",52.5,52.5,52.5,52.5,52.5,57.25,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"193",24,"Argentina",61.0231513443873,61.3627533606503,62.2904487060416,63.1387361292574,63.8717464924829,66.6986256729977,"Human health and welfare","Human health and welfare","Human health and welfare","America"
"194",25,"Argentina",40.0435272192263,43.1173801816342,42.6866069583649,44.8929233644518,46.0288124665251,43.8077983471502,"13","SESI","SESI","America"
"195",1,"Armenia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Asia"
"196",2,"Armenia",56.946,54.6406666666667,46.5466666666667,42.6833333333333,46.5466666666667,45.6473333333333,"Source","renewable ressources","Surfacewater Stress","Asia"
"197",3,"Armenia",11.5390526666667,6.83681866666666,7.130698,8.306266,11.2451606666667,14.184068,"Source","renewable ressources","Groundwater stress","Asia"
"198",4,"Armenia",94.41875,94.41875,94.41875,94.41875,94.41875,94.41875,"Source","non-renewables ressources","area with tolerable erosion","Asia"
"199",5,"Armenia",75.63720725,76.949086,75.123055375,73.377720125,69.18341075,67.98693325,"Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"200",6,"Armenia",64.923542529468,90.7996177126473,86.1086333227142,64.7722204523734,66.7394074546034,54.5958934032329,"Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"201",7,"Armenia",63.1139191666667,62.8299483333333,62.5508508333333,62.2718525,61.99998,61.7084583333333,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"202",8,"Armenia",5,5,5,5,7.75499999999999,7.75499999999999,"Human health and welfare","human health","Concentrations of PM2.5","Asia"
"203",9,"Armenia",84.9225785,85.3887055,86.151964,86.626812,87.1018215,87.565127,"Human health and welfare","human health","Drinking water contamination","Asia"
