"","X","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"57",10,"Angola",25.03,26.08,25.44,25.85,27.16,27.16,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"58",1,"Anguilla",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","America",100,"%"
"59",2,"Anguilla",60.34,60.34,61.4,61.4,61.4,61.4,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
"60",3,"Anguilla",NA,NA,NA,NA,NA,NA,"Sink","global System","CO2 emissions [tonnes per capita]","America",2.88,"tonnes per year per capita"
"61",4,"Anguilla",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America",100,"%"
"62",5,"Anguilla",82.32,81.98,78.35,81.27,81.48,81.7,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America",100,"%"
"63",1,"Antigua and Barbuda",84.12983,83.4329,82.83552,82.13859,81.44166,80.84429,"Source","renewable ressources","state of forest reccources","America",100,"%"
"64",2,"Antigua and Barbuda",60.34,60.34,61.4,61.4,61.4,61.4,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
"65",3,"Antigua and Barbuda",8.46,8.46,8.46,8.46,8.46,8.46,"Source","renewable ressources","Surfacewater Stress","America",25,"% of stress"
"66",4,"Antigua and Barbuda",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America",25,"%"
"67",5,"Antigua and Barbuda",7.43,7.43,7.43,7.43,7.43,7.43,"Source","non-renewables ressources","area with tolerable erosion","America",2,"Tonnes/hectare/year"
"68",6,"Antigua and Barbuda",13.1110247,13.1829863,9.6112475,10.3616537,10.2065654,8.5057061,"Sink","global System","CO2 emissions [tonnes per capita]","America",2.88,"tonnes per year per capita"
"69",7,"Antigua and Barbuda",0.06,0.01,0,0.02,0,0.03,"Sink","global System","Consumption of HCFC in ODP per capita","America",0.0045,"0.5% compare to 2007 in CO2-eq tonnes"
"70",8,"Antigua and Barbuda",NA,NA,NA,NA,NA,0,"Sink","critical ecosystems","Proportion of surface water in good chemical status","America",100,"%"
"71",9,"Antigua and Barbuda",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America",100,"%"
"72",10,"Antigua and Barbuda",78.92,79.39,76.74,78.79,78.87,78.35,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America",100,"%"
"73",11,"Antigua and Barbuda",8.89,8.95,9.27,8.87,8.3,8.3,"Human health and welfare","human health","Concentrations of PM2.5","America",5,"µg/m3"
"74",1,"Argentina",83.08349,82.83507,82.51812,82.20973,81.89564,81.58726,"Source","renewable ressources","state of forest reccources","America",100,"%"
"75",2,"Argentina",41.18,41.18,46.67,46.67,46.67,46.67,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
"76",3,"Argentina",10.46,10.46,10.46,10.46,10.46,10.46,"Source","renewable ressources","Surfacewater Stress","America",25,"% of stress"
"77",4,"Argentina",8.851562,8.851562,8.851562,8.851562,8.851562,8.851562,"Source","renewable ressources","Groundwater stress","America",25,"%"
"78",5,"Argentina",2.21,2.21,2.21,2.21,2.21,2.21,"Source","non-renewables ressources","area with tolerable erosion","America",2,"Tonnes/hectare/year"
"79",6,"Argentina",9.2310218,9.1492695,9.0941254,8.8941137,8.7194596,8.4253829,"Sink","global System","CO2 emissions [tonnes per capita]","America",2.88,"tonnes per year per capita"
"80",7,"Argentina",295.42,229.05,248.29,188.06,150.73,126.16,"Sink","global System","Consumption of HCFC in ODP per capita","America",1.7125,"0.5% compare to 2007 in CO2-eq tonnes"
"81",8,"Argentina",NA,NA,NA,NA,NA,0,"Sink","critical ecosystems","Proportion of surface water in good chemical status","America",100,"%"
"82",9,"Argentina",NA,NA,NA,NA,NA,21.9,"Sink","critical ecosystems","Proportion of ground water in good chemical status","America",100,"%"
"83",10,"Argentina",70.87737,70.84882,70.81676,70.77287,70.74484,70.71345,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America",100,"%"
"84",11,"Argentina",65.78,65.73,65.68,65.63,65.58,65.53,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America",100,"%"
"85",12,"Argentina",14.18,13.93,13.24,12.6,12.04,12.04,"Human health and welfare","human health","Concentrations of PM2.5","America",5,"µg/m3"
"86",13,"Argentina",50,50,50,50,50,55,"Human health and welfare","landscape and amenity","status of world heritage sites","America",100,"% Good status"
"87",1,"Armenia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Asia",100,"%"
"88",2,"Armenia",66.01,64.19,57.8,54.75,57.8,57.09,"Source","renewable ressources","Surfacewater Stress","Asia",25,"% of stress"
"89",3,"Armenia",30.16241,26.45012,26.68213,27.61021,29.93039,32.25058,"Source","renewable ressources","Groundwater stress","Asia",25,"%"
"90",4,"Armenia",2.47,2.47,2.47,2.47,2.47,2.47,"Source","non-renewables ressources","area with tolerable erosion","Asia",2,"Tonnes/hectare/year"
"91",5,"Armenia",3.0258018,2.9705648,3.0474503,3.1209381,3.2975406,3.3479186,"Sink","global System","CO2 emissions [tonnes per capita]","Asia",2.88,"tonnes per year per capita"
"92",6,"Armenia",2.34,0.63,0.94,2.35,2.22,2.21,"Sink","global System","Consumption of HCFC in ODP per capita","Asia",0.022,"0.5% compare to 2007 in CO2-eq tonnes"
"93",7,"Armenia",71.02159,70.82114,70.62413,70.42719,70.23528,70.0295,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia",100,"%"
"94",8,"Armenia",40.59,40.04,37.76,37.09,34.13,34.13,"Human health and welfare","human health","Concentrations of PM2.5","Asia",5,"µg/m3"
"95",9,"Armenia",84.12903,84.61969,85.42312,85.92296,86.42297,86.91066,"Human health and welfare","human health","Drinking water contamination","Asia",100,"% without E.coli"
"96",1,"Aruba",100,100,100,100,100,100,"Source","renewable ressources","state of forest reccources","America",100,"%"
"97",2,"Aruba",60.34,60.34,61.4,61.4,61.4,61.4,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
"98",3,"Aruba",15.963307,15.5989798,13.0035457,13.2466136,13.5668942,11.2357605,"Sink","global System","CO2 emissions [tonnes per capita]","America",2.88,"tonnes per year per capita"
"99",4,"Aruba",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America",100,"%"
"100",5,"Aruba",83.61,83.44,83.26,83.09,82.92,82.75,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America",100,"%"
"101",1,"Australia",99.56582,100.2705,100.2556,100.2466,100.2466,100.2466,"Source","renewable ressources","state of forest reccources","Oceania",100,"%"
"102",2,"Australia",80.46667,80.46667,76.68333,76.68333,76.68333,76.68333,"Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania",100,"% Sus fish stock"
"103",3,"Australia",3.71,4.27,4.85,4.96,4.23,3.47,"Source","renewable ressources","Surfacewater Stress","Oceania",25,"% of stress"
"104",4,"Australia",2.805556,0.8055556,0.7916667,0.7916667,0.8333333,0.7916667,"Source","renewable ressources","Groundwater stress","Oceania",25,"%"
"105",5,"Australia",0.75,0.75,0.75,0.75,0.75,0.75,"Source","non-renewables ressources","area with tolerable erosion","Oceania",2,"Tonnes/hectare/year"
"106",6,"Australia",24.5591091,24.1630388,24.0942487,23.3869527,23.0831627,21.3548888,"Sink","global System","CO2 emissions [tonnes per capita]","Oceania",2.88,"tonnes per year per capita"
"107",7,"Australia",8.19,0.58,0.12,1.01,0.74,0.64,"Sink","global System","Consumption of HCFC in ODP per capita","Oceania",0.5705,"0.5% compare to 2007 in CO2-eq tonnes"
"108",8,"Australia",NA,NA,NA,NA,NA,92,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Oceania",100,"%"
"109",9,"Australia",NA,NA,NA,NA,NA,87,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Oceania",100,"%"
"110",10,"Australia",69.62032,69.62674,69.63554,69.64576,69.65734,69.64582,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania",100,"%"
"111",11,"Australia",74.63,72.97,72.67,72.21,72.06,72.14,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania",100,"%"
"112",12,"Australia",6.6,6.67,6.89,7.11,8.93,8.93,"Human health and welfare","human health","Concentrations of PM2.5","Oceania",5,"µg/m3"
"113",13,"Australia",57.8125,57.8125,59.375,59.375,59.375,50,"Human health and welfare","landscape and amenity","status of world heritage sites","Oceania",100,"% Good status"
"114",1,"Austria",102.6249,102.7201,102.8151,102.91,103.0049,103.0998,"Source","renewable ressources","state of forest reccources","Europe",100,"%"
"115",2,"Austria",9.64,9.64,9.64,9.64,9.64,9.64,"Source","renewable ressources","Surfacewater Stress","Europe",25,"% of stress"
"116",3,"Austria",17.66667,17.66667,17.66667,17.66667,17.66667,17.66667,"Source","renewable ressources","Groundwater stress","Europe",25,"%"
"117",4,"Austria",2.35,2.35,2.35,2.35,2.35,2.35,"Source","non-renewables ressources","area with tolerable erosion","Europe",2,"Tonnes/hectare/year"
"118",5,"Austria",9.8457332,9.8268164,10.0189962,9.6041295,9.7523038,8.9394745,"Sink","global System","CO2 emissions [tonnes per capita]","Europe",2.88,"tonnes per year per capita"
"119",6,"Austria",-53.48,-37.31,-26.7,-40.28,-25,-28.45,"Sink","global System","Consumption of HCFC in ODP per capita","Europe",5.437,"0.5% compare to 2007 in CO2-eq tonnes"
"120",7,"Austria",86,86,86,86,86,88.5,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe",100,"%"
"121",8,"Austria",94.6,94.6,94.6,94.6,94.6,96.2,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe",100,"%"
"122",9,"Austria",72.48241,72.47639,72.59677,72.55765,72.60735,72.62375,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe",100,"%"
"123",10,"Austria",13.63,12.28,12.32,12.68,11.51,11.51,"Human health and welfare","human health","Concentrations of PM2.5","Europe",5,"µg/m3"
"124",11,"Austria",99.54924,99.75557,99.96189,100,100,100,"Human health and welfare","human health","Drinking water contamination","Europe",100,"% without E.coli"
"125",12,"Austria",50,50,25,25,25,25,"Human health and welfare","landscape and amenity","status of world heritage sites","Europe",100,"% Good status"
"126",1,"Azerbaijan",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Asia",100,"%"
"127",2,"Azerbaijan",51.62,52.45,53.52,53.73,55.6,55.6,"Source","renewable ressources","Surfacewater Stress","Asia",25,"% of stress"
"128",3,"Azerbaijan",31.02919,31.95084,31.79724,32.25806,36.40553,36.40553,"Source","renewable ressources","Groundwater stress","Asia",25,"%"
"129",4,"Azerbaijan",2.38,2.38,2.38,2.38,2.38,2.38,"Source","non-renewables ressources","area with tolerable erosion","Asia",2,"Tonnes/hectare/year"
"130",5,"Azerbaijan",5.9809485,5.927622,5.8346821,5.919734,6.3560758,5.8033368,"Sink","global System","CO2 emissions [tonnes per capita]","Asia",2.88,"tonnes per year per capita"
"131",6,"Azerbaijan",1.24,0.48,0.3,0.18,0,0,"Sink","global System","Consumption of HCFC in ODP per capita","Asia",0.004,"0.5% compare to 2007 in CO2-eq tonnes"
"132",7,"Azerbaijan",71.03629,70.89173,70.75473,70.61856,70.47483,70.29366,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia",100,"%"
"133",8,"Azerbaijan",29.67,28.84,27.48,26.96,24.64,24.64,"Human health and welfare","human health","Concentrations of PM2.5","Asia",5,"µg/m3"
"134",9,"Azerbaijan",88.80465,89.5379,90.2662,90.98907,91.68078,92.28579,"Human health and welfare","human health","Drinking water contamination","Asia",100,"% without E.coli"
"135",1,"Bahamas",100,100,100,100,100,100,"Source","renewable ressources","state of forest reccources","America",100,"%"
"136",2,"Bahamas",60.34,60.34,61.4,61.4,61.4,61.4,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
"137",3,"Bahamas",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America",25,"%"
"138",4,"Bahamas",1.57,1.57,1.57,1.57,1.57,1.57,"Source","non-renewables ressources","area with tolerable erosion","America",2,"Tonnes/hectare/year"
"139",5,"Bahamas",10.3633272,10.5706846,10.8582474,12.2826216,12.06873,10.0748849,"Sink","global System","CO2 emissions [tonnes per capita]","America",2.88,"tonnes per year per capita"
"140",6,"Bahamas",3.52,3.74,2.75,2.72,2.69,2.62,"Sink","global System","Consumption of HCFC in ODP per capita","America",0.029,"0.5% compare to 2007 in CO2-eq tonnes"
"141",7,"Bahamas",94.08422,94.06185,94.04002,94.01914,93.99901,93.98521,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America",100,"%"
"142",8,"Bahamas",78.27,80.21,79.85,78.98,77.92,77.84,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America",100,"%"
"143",9,"Bahamas",5.32,5.56,5.8,5.61,5.2,5.2,"Human health and welfare","human health","Concentrations of PM2.5","America",5,"µg/m3"
"144",1,"Bahrain",255.3191,263.8298,272.3404,280.8511,289.3617,297.8723,"Source","renewable ressources","state of forest reccources","Asia",100,"%"
"145",2,"Bahrain",66.67,66.67,68.29,68.29,68.29,68.29,"Source","renewable ressources","Proportion of fish stocks not overexploited","Asia",100,"% Sus fish stock"
"146",3,"Bahrain",137.16,133.71,133.71,133.71,133.71,133.71,"Source","renewable ressources","Surfacewater Stress","Asia",25,"% of stress"
"147",4,"Bahrain",145.4545,145.4545,145.4545,145.4545,145.4545,145.4545,"Source","renewable ressources","Groundwater stress","Asia",25,"%"
"148",5,"Bahrain",1.11,1.11,1.11,1.11,1.11,1.11,"Source","non-renewables ressources","area with tolerable erosion","Asia",2,"Tonnes/hectare/year"
"149",6,"Bahrain",44.8399011,43.4787973,41.9942891,41.351855,43.7939568,50.895692,"Sink","global System","CO2 emissions [tonnes per capita]","Asia",2.88,"tonnes per year per capita"
"150",7,"Bahrain",45.98,45.77,44.21,40.65,37.04,32.76,"Sink","global System","Consumption of HCFC in ODP per capita","Asia",0.1435,"0.5% compare to 2007 in CO2-eq tonnes"
"151",8,"Bahrain",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia",100,"%"
"152",9,"Bahrain",85.82,85.82,78.98,78.96,77.45,77.48,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia",100,"%"
"153",10,"Bahrain",56.38,52.9,54.72,54.49,51.82,51.82,"Human health and welfare","human health","Concentrations of PM2.5","Asia",5,"µg/m3"
"154",11,"Bahrain",99.04944,99.05788,99.06632,99.07476,99.08319,99.09163,"Human health and welfare","human health","Drinking water contamination","Asia",100,"% without E.coli"
"155",1,"Bangladesh",98.0769,98.0769,98.0769,98.0769,98.0769,98.0769,"Source","renewable ressources","state of forest reccources","Asia",100,"%"
"156",2,"Bangladesh",73.08,73.08,68.63,68.63,68.63,68.63,"Source","renewable ressources","Proportion of fish stocks not overexploited","Asia",100,"% Sus fish stock"
"157",3,"Bangladesh",5.72,5.72,5.72,5.72,5.72,5.72,"Source","renewable ressources","Surfacewater Stress","Asia",25,"% of stress"
"158",4,"Bangladesh",134.8485,134.8485,134.8485,134.8485,134.8485,134.8485,"Source","renewable ressources","Groundwater stress","Asia",25,"%"
"159",5,"Bangladesh",9.84,9.84,9.84,9.84,9.84,9.84,"Source","non-renewables ressources","area with tolerable erosion","Asia",2,"Tonnes/hectare/year"
"160",6,"Bangladesh",1.5523135,1.541349,1.5935155,1.6122461,1.6532188,1.6374939,"Sink","global System","CO2 emissions [tonnes per capita]","Asia",2.88,"tonnes per year per capita"
"161",7,"Bangladesh",64.18,63.9,63.33,0,0,46.53,"Sink","global System","Consumption of HCFC in ODP per capita","Asia",0.186,"0.5% compare to 2007 in CO2-eq tonnes"
"162",8,"Bangladesh",37.35894,37.29169,37.21145,37.13052,37.05233,36.97273,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia",100,"%"
"163",9,"Bangladesh",89.6,89.14,88.89,88.65,84.74,87.71,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia",100,"%"
"164",10,"Bangladesh",50.63,47.78,46.19,50.66,45.99,45.99,"Human health and welfare","human health","Concentrations of PM2.5","Asia",5,"µg/m3"
"165",11,"Bangladesh",56.32892,56.73354,57.15407,57.59066,58.04326,58.51188,"Human health and welfare","human health","Drinking water contamination","Asia",100,"% without E.coli"
"166",12,"Bangladesh",25,25,25,25,25,25,"Human health and welfare","landscape and amenity","status of world heritage sites","Asia",100,"% Good status"
"167",1,"Barbados",100,100,100,100,100,100,"Source","renewable ressources","state of forest reccources","America",100,"%"
"168",2,"Barbados",60.34,60.34,61.4,61.4,61.4,61.4,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
"169",3,"Barbados",87.5,87.5,87.5,87.5,87.5,87.5,"Source","renewable ressources","Surfacewater Stress","America",25,"% of stress"
"170",4,"Barbados",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America",25,"%"
"171",5,"Barbados",7.53,7.53,7.53,7.53,7.53,7.53,"Source","non-renewables ressources","area with tolerable erosion","America",2,"Tonnes/hectare/year"
"172",6,"Barbados",8.925262,8.9624023,7.1783817,7.9687079,7.8678164,6.6785905,"Sink","global System","CO2 emissions [tonnes per capita]","America",2.88,"tonnes per year per capita"
"173",7,"Barbados",1.48,2.25,1.85,1.37,1.7,0.87,"Sink","global System","Consumption of HCFC in ODP per capita","America",0.0145,"0.5% compare to 2007 in CO2-eq tonnes"
"174",8,"Barbados",93.51127,93.31704,93.12075,92.91807,92.71071,92.61045,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America",100,"%"
"175",9,"Barbados",89.74,89.59,89.45,89.3,89.15,89.01,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America",100,"%"
"176",10,"Barbados",10.53,10.34,10.91,10.36,9.79,9.79,"Human health and welfare","human health","Concentrations of PM2.5","America",5,"µg/m3"
"177",1,"Belarus",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe",100,"%"
"178",2,"Belarus",4.77,4.79,4.6,4.58,4.48,4.38,"Source","renewable ressources","Surfacewater Stress","Europe",25,"% of stress"
"179",3,"Belarus",5.345912,5.157233,5.09434,5.09434,5.031447,5.031447,"Source","renewable ressources","Groundwater stress","Europe",25,"%"
"180",4,"Belarus",0.17,0.17,0.17,0.17,0.17,0.17,"Source","non-renewables ressources","area with tolerable erosion","Europe",2,"Tonnes/hectare/year"
"181",5,"Belarus",10.6103144,10.6047691,10.6825448,11.0142742,10.6452449,10.0457867,"Sink","global System","CO2 emissions [tonnes per capita]","Europe",2.88,"tonnes per year per capita"
"182",6,"Belarus",4.5,3.45,2.62,1.1,0,0,"Sink","global System","Consumption of HCFC in ODP per capita","Europe",0.004,"0.5% compare to 2007 in CO2-eq tonnes"
"183",7,"Belarus",NA,NA,NA,NA,NA,92.2,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe",100,"%"
"184",8,"Belarus",NA,NA,NA,NA,NA,62.8,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe",100,"%"
